DATE,LOL,HON,DO2,GW2,XIV,WOW,ESO,EQN,WIS
6/7/2014 2:15,1,1,1,1,1,1,1,1,1
6/7/2014 2:20,14,1,11,4,3,4,1,1,10
6/7/2014 2:31,62,1,36,5,6,8,7,2,26
6/7/2014 2:40,111,3,25,3,7,12,5,2,26
6/7/2014 2:50,49,1,35,5,11,12,4,1,36
6/7/2014 3:01,46,1,40,5,4,13,5,1,46
6/7/2014 3:10,100,1,30,4,12,7,2,2,40
6/7/2014 3:20,48,1,39,4,8,13,5,1,29
6/7/2014 3:31,54,2,32,2,8,11,6,2,26
6/7/2014 3:40,98,2,31,3,10,5,1,3,22
6/7/2014 3:50,45,1,35,5,8,10,3,1,22
6/7/2014 4:01,39,2,30,4,6,12,4,2,30
6/7/2014 4:10,103,1,30,4,7,3,5,2,28
6/7/2014 4:20,61,1,38,4,6,8,5,2,30
6/7/2014 4:31,46,1,36,7,6,10,5,1,25
6/7/2014 4:40,96,1,23,5,13,6,3,1,25
6/7/2014 4:50,60,1,41,4,7,12,3,1,31
6/7/2014 5:01,63,1,31,5,11,14,5,2,24
6/7/2014 5:10,88,2,39,2,12,10,16,1,29
6/7/2014 5:20,63,1,38,7,10,4,11,1,22
6/7/2014 5:31,55,1,40,3,12,9,12,1,22
6/7/2014 5:40,89,1,29,5,4,12,7,1,16
6/7/2014 5:50,31,1,17,2,4,8,5,1,7
6/7/2014 6:01,60,2,38,3,11,9,3,1,26
6/7/2014 6:10,103,2,32,3,9,6,5,1,18
6/7/2014 6:20,63,1,26,4,11,9,6,1,13
6/7/2014 6:31,61,1,42,8,6,3,10,1,21
6/7/2014 6:40,94,2,32,1,6,6,5,2,23
6/7/2014 6:50,63,1,42,4,12,7,4,3,26
6/7/2014 7:01,41,1,29,4,6,8,11,2,26
6/7/2014 7:10,123,2,49,5,3,8,6,1,28
6/7/2014 7:20,72,1,45,4,12,17,10,1,26
6/7/2014 7:31,62,1,34,9,7,8,11,1,21
6/7/2014 7:40,121,1,40,6,6,14,7,2,14
6/7/2014 7:50,73,1,39,4,6,27,6,1,26
6/7/2014 8:01,77,1,37,6,7,18,9,1,30
6/7/2014 8:10,128,2,31,5,9,11,4,1,23
6/7/2014 8:20,77,1,51,7,5,14,7,1,26
6/7/2014 8:31,58,1,40,8,8,8,8,3,30
6/7/2014 8:40,144,1,43,7,11,4,9,2,27
6/7/2014 8:50,91,2,45,9,13,8,9,1,35
6/7/2014 9:01,48,2,52,6,7,11,7,1,25
6/7/2014 9:10,179,3,48,3,9,13,13,1,29
6/7/2014 9:20,117,1,53,6,9,13,12,1,30
6/7/2014 9:31,72,2,44,8,8,21,11,3,33
6/7/2014 9:40,208,1,45,4,7,15,11,2,28
6/7/2014 9:50,93,1,63,6,14,12,8,1,39
6/7/2014 10:01,84,1,92,8,5,9,7,1,36
6/7/2014 10:10,212,1,48,7,13,14,10,2,36
6/7/2014 10:20,185,2,66,8,9,16,10,2,31
6/7/2014 10:31,83,1,57,5,10,10,7,1,30
6/7/2014 10:40,179,1,61,5,12,11,9,1,39
6/7/2014 10:50,106,2,51,5,7,10,4,2,26
6/7/2014 11:01,83,1,39,4,8,17,7,2,50
6/7/2014 11:10,196,1,44,4,13,10,12,1,36
6/7/2014 11:20,113,1,53,10,13,6,7,2,40
6/7/2014 11:31,67,1,47,6,13,11,13,1,49
6/7/2014 11:40,194,2,61,2,7,10,10,1,39
6/7/2014 11:50,87,1,48,8,11,13,12,2,54
6/7/2014 12:01,66,1,46,6,8,19,11,2,53
6/7/2014 12:10,195,2,45,4,8,10,11,3,36
6/7/2014 12:20,105,1,44,4,11,5,14,2,46
6/7/2014 12:31,78,3,40,6,13,7,11,1,35
6/7/2014 12:40,183,1,41,4,12,5,10,1,41
6/7/2014 12:50,72,1,57,8,12,16,14,1,39
6/7/2014 13:01,121,1,44,10,10,19,8,2,44
6/7/2014 13:10,164,1,32,7,13,21,11,3,43
6/7/2014 13:20,104,1,43,7,12,10,12,2,32
6/7/2014 13:30,62,1,33,6,15,8,8,1,41
6/7/2014 13:40,171,1,36,6,7,15,13,2,35
6/7/2014 13:50,135,1,42,7,11,13,9,2,33
6/7/2014 14:00,103,1,33,3,16,8,12,2,42
6/7/2014 14:10,146,1,29,2,5,6,8,2,29
6/7/2014 14:20,96,1,26,5,9,6,10,1,31
6/7/2014 14:40,108,1,35,5,8,8,14,1,75
6/7/2014 14:50,74,1,24,4,5,9,9,1,36
6/7/2014 15:00,70,1,27,4,8,6,13,1,48
6/7/2014 15:10,109,2,26,3,7,6,11,1,41
6/7/2014 15:20,141,1,24,5,11,11,8,2,32
6/7/2014 15:30,87,1,23,6,9,11,21,2,45
6/7/2014 15:40,90,1,15,3,3,9,13,1,24
6/7/2014 15:50,66,1,29,7,8,12,9,1,29
6/7/2014 16:00,62,1,27,5,5,10,9,1,35
6/7/2014 16:10,75,2,30,5,10,12,8,1,40
6/7/2014 16:20,106,2,32,1,11,9,12,1,36
6/7/2014 16:30,55,1,133,2,11,12,15,1,35
6/7/2014 16:40,84,1,26,4,7,9,6,1,35
6/7/2014 16:50,64,2,22,7,8,10,13,1,25
6/7/2014 17:00,65,1,25,3,12,8,12,1,56
6/7/2014 17:10,60,3,26,2,8,12,9,1,46
6/7/2014 17:20,75,1,21,5,9,5,3,1,30
6/7/2014 17:40,51,2,25,6,11,20,17,2,65
6/7/2014 17:50,49,1,19,3,8,6,6,1,32
6/7/2014 18:10,71,3,16,4,16,10,3,1,34
6/7/2014 18:20,63,1,23,3,12,6,7,2,30
6/7/2014 18:40,55,1,22,6,8,10,11,2,50
6/7/2014 18:50,61,1,18,3,12,9,6,1,27
6/7/2014 19:10,52,1,28,3,6,9,7,1,76
6/7/2014 19:20,75,1,46,11,14,21,13,2,42
6/7/2014 19:30,67,1,51,6,13,16,14,1,33
6/7/2014 19:40,69,2,43,7,9,17,8,1,46
6/7/2014 19:50,65,1,27,5,11,10,22,1,27
6/7/2014 20:00,58,1,18,3,9,13,8,1,39
6/7/2014 20:10,62,1,22,6,11,6,7,1,21
6/7/2014 20:20,64,1,36,2,11,13,8,1,36
2014-06-08 00:00,36,1,29,5,11,3,8,1,28
2014-06-08 00:08,45,1,27,3,9,3,8,1,20
2014-06-08 00:10,9,1,9,1,1,2,1,1,6
2014-06-08 00:20,55,1,30,2,11,5,7,1,28
2014-06-08 00:24,18,1,22,5,2,4,1,1,15
2014-06-08 00:30,19,1,19,2,7,5,7,1,10
2014-06-08 00:40,46,1,31,4,10,6,8,1,22
2014-06-08 00:50,29,1,24,4,10,8,2,1,21
2014-06-08 01:00,32,1,31,5,9,4,7,1,22
2014-06-08 01:10,66,2,29,2,13,41,14,1,21
2014-06-08 01:20,61,1,30,7,7,15,7,1,27
2014-06-08 01:30,50,1,30,2,8,8,7,1,18
2014-06-08 01:40,111,1,24,4,6,6,7,2,14
2014-06-08 01:50,92,1,34,3,7,8,6,2,21
2014-06-08 02:00,38,1,40,4,6,9,5,2,22
2014-06-08 02:10,123,1,33,6,7,11,1,1,23
2014-06-08 02:20,57,2,44,2,9,9,7,2,26
2014-06-08 02:30,38,1,31,6,6,4,9,1,25
2014-06-08 02:40,110,2,34,6,9,1,9,1,17
2014-06-08 02:50,50,1,36,3,6,7,6,1,21
2014-06-08 03:00,41,2,34,5,6,12,9,1,35
2014-06-08 03:10,105,1,36,5,6,10,4,1,53
2014-06-08 03:20,65,1,34,9,10,10,8,10,39
2014-06-08 03:30,59,1,32,6,11,10,3,1,35
2014-06-08 03:40,144,2,24,3,7,7,7,1,28
2014-06-08 03:50,70,1,37,7,8,7,4,1,22
2014-06-08 04:00,41,1,36,3,13,10,6,1,28
2014-06-08 04:10,125,1,15,1,11,16,9,1,29
2014-06-08 04:20,52,1,32,2,14,9,4,1,20
2014-06-08 04:30,41,1,44,6,6,12,8,1,14
2014-06-08 04:40,121,1,34,1,8,4,7,2,19
2014-06-08 04:50,62,2,20,2,9,6,2,1,25
2014-06-08 05:00,40,2,25,7,7,7,4,1,30
2014-06-08 05:10,124,1,33,1,9,5,4,3,24
2014-06-08 05:20,63,1,32,5,12,5,5,1,15
2014-06-08 05:30,54,1,28,3,6,7,4,1,18
2014-06-08 05:40,107,1,23,4,5,7,5,1,19
2014-06-08 05:50,58,1,38,7,4,9,3,2,25
2014-06-08 06:00,37,1,43,7,7,9,7,1,30
2014-06-08 06:10,129,3,26,7,9,6,5,1,24
2014-06-08 06:20,87,2,30,11,9,6,3,1,25
2014-06-08 06:30,68,1,41,8,6,11,6,1,18
2014-06-08 06:40,140,2,31,3,9,7,4,1,25
2014-06-08 06:50,52,1,27,4,10,3,5,2,16
2014-06-08 07:00,44,1,33,5,10,12,3,1,20
2014-06-08 07:10,120,1,40,6,10,4,7,1,19
2014-06-08 07:20,62,1,44,9,16,7,12,1,24
2014-06-08 07:30,43,1,51,8,6,11,7,1,32
2014-06-08 07:40,153,1,56,3,7,11,7,1,21
2014-06-08 07:50,93,1,55,6,9,10,8,1,21
2014-06-08 08:00,80,1,52,7,7,9,7,1,30
2014-06-08 08:10,162,2,60,7,7,7,10,2,19
2014-06-08 08:20,95,2,53,6,7,7,4,2,32
2014-06-08 08:30,52,1,41,6,7,10,7,1,20
2014-06-08 08:40,169,1,49,5,6,3,7,1,25
2014-06-08 08:50,92,2,80,5,9,7,7,1,26
2014-06-08 09:00,40,1,75,3,8,9,8,2,29
2014-06-08 09:10,201,1,48,3,9,11,5,1,23
2014-06-08 09:20,109,1,56,4,11,13,11,1,26
2014-06-08 09:30,57,2,95,3,7,8,3,3,26
2014-06-08 09:40,174,1,88,2,8,5,14,1,23
2014-06-08 09:50,89,2,344,7,10,10,8,1,24
2014-06-08 10:00,64,1,323,3,14,7,4,1,31
2014-06-08 10:10,166,2,137,7,11,9,7,1,34
2014-06-08 10:20,179,1,125,2,11,34,8,1,26
2014-06-08 10:30,61,1,135,7,12,9,6,1,28
2014-06-08 10:40,175,1,107,4,6,12,14,1,38
2014-06-08 10:50,67,1,76,7,11,8,13,2,26
2014-06-08 11:00,53,2,81,6,12,8,8,2,61
2014-06-08 11:10,146,1,88,3,7,11,11,1,66
2014-06-08 11:20,115,1,77,10,14,4,7,1,49
2014-06-08 11:30,78,1,72,4,12,8,9,2,43
2014-06-08 11:40,146,1,79,6,7,15,13,2,28
2014-06-08 11:50,76,1,58,5,15,12,18,2,40
2014-06-08 12:00,73,1,75,5,11,9,6,1,39
2014-06-08 12:10,154,3,53,9,11,10,21,2,48
2014-06-08 12:20,114,2,63,4,14,10,15,1,51
2014-06-08 12:30,81,1,56,4,4,8,10,2,207
2014-06-08 12:40,109,1,47,5,12,9,10,3,36
2014-06-08 12:50,73,1,50,4,13,5,14,1,47
2014-06-08 13:00,70,2,59,8,5,30,11,1,35
2014-06-08 13:10,124,2,56,5,16,16,11,1,35
2014-06-08 13:20,79,1,50,7,9,13,7,1,37
2014-06-08 13:30,90,1,46,6,3,7,10,1,37
2014-06-08 13:40,85,1,33,6,4,7,6,1,48
2014-06-08 13:50,80,1,41,6,5,13,10,1,40
2014-06-08 14:00,102,1,49,4,9,13,10,4,79
2014-06-08 14:10,114,1,40,5,11,11,11,2,42
2014-06-08 14:20,94,1,26,4,13,7,13,1,52
2014-06-08 14:30,66,1,27,5,8,10,18,1,39
2014-06-08 14:40,90,1,31,6,11,8,12,1,23
2014-06-08 14:50,71,1,31,3,4,44,6,1,39
2014-06-08 15:00,86,1,31,2,16,13,8,1,34
2014-06-08 15:10,118,1,32,8,5,11,11,1,34
2014-06-08 15:20,171,1,36,8,8,9,10,1,30
2014-06-08 15:30,67,1,30,4,9,11,8,1,56
2014-06-08 15:40,123,2,29,5,13,11,13,1,28
2014-06-08 15:50,102,2,26,5,12,6,14,1,33
2014-06-08 16:00,72,1,34,10,7,9,12,2,40
2014-06-08 16:10,74,2,26,7,10,19,9,1,47
2014-06-08 16:20,81,1,34,5,13,11,17,1,35
2014-06-08 16:40,63,1,25,3,6,7,0,1,73
2014-06-08 16:50,65,1,28,10,7,11,9,1,39
2014-06-08 17:00,56,1,32,7,6,8,9,2,51
2014-06-08 17:10,56,1,43,5,10,10,4,1,40
2014-06-08 17:20,83,1,31,2,12,11,11,1,36
2014-06-08 17:30,56,1,38,7,9,9,15,2,42
2014-06-08 17:40,54,1,37,3,11,5,12,1,40
2014-06-08 17:50,72,1,22,10,14,7,15,1,42
2014-06-08 18:10,114,2,34,11,16,20,13,1,61
2014-06-08 18:20,66,1,27,6,10,6,16,2,79
2014-06-08 18:40,52,1,25,9,7,11,14,1,45
2014-06-08 18:50,53,1,31,2,12,6,8,1,34
2014-06-08 19:00,66,1,22,3,11,13,15,1,47
2014-06-08 19:10,78,2,42,5,9,12,16,1,47
2014-06-08 19:20,87,2,52,11,10,18,15,1,49
2014-06-08 19:30,76,1,47,6,20,25,21,1,46
2014-06-08 19:40,61,1,59,10,23,19,19,1,39
2014-06-08 19:50,65,2,32,9,17,21,18,2,50
2014-06-08 20:00,49,1,43,3,14,12,15,1,45
2014-06-08 20:10,42,1,34,4,15,6,10,1,43
2014-06-08 20:20,62,1,36,12,18,22,15,2,55
2014-06-08 20:30,57,2,37,6,13,17,21,1,41
2014-06-08 20:40,67,1,35,8,30,15,12,1,36
2014-06-08 20:50,65,1,45,4,26,12,8,1,40
2014-06-08 21:00,53,1,49,5,23,9,13,3,51
2014-06-08 21:10,33,2,40,4,22,10,19,1,43
2014-06-08 21:20,44,1,49,8,9,13,16,1,38
2014-06-08 21:30,50,2,28,3,24,8,20,2,40
2014-06-08 21:40,41,1,18,4,18,8,10,1,24
2014-06-08 21:50,53,1,24,3,18,8,15,1,27
2014-06-08 22:00,34,1,48,5,15,4,8,1,22
2014-06-08 22:10,40,1,49,4,16,9,11,1,32
2014-06-08 22:20,80,1,41,7,19,11,11,2,27
2014-06-08 22:40,56,1,32,2,20,6,12,2,45
2014-06-08 22:50,57,1,36,8,14,8,12,1,25
2014-06-08 23:00,56,1,38,4,15,5,11,1,33
2014-06-08 23:10,46,1,36,7,13,10,12,1,26
2014-06-08 23:20,48,2,71,6,25,9,10,1,21
2014-06-08 23:30,43,1,32,6,19,7,17,1,23
2014-06-08 23:40,31,2,26,6,12,13,9,1,28
2014-06-08 23:50,42,1,30,13,15,12,9,1,18
2014-06-09 00:00,42,2,30,6,19,5,13,1,22
2014-06-09 00:10,42,3,29,10,29,9,7,1,24
2014-06-09 00:20,57,1,23,4,22,10,11,1,29
2014-06-09 00:30,22,1,18,3,10,3,11,1,7
2014-06-09 00:40,47,1,29,4,14,4,4,1,23
2014-06-09 00:50,41,1,33,3,24,9,9,1,27
2014-06-09 01:00,32,1,25,3,13,25,10,1,24
2014-06-09 01:10,44,1,25,3,9,5,4,1,22
2014-06-09 01:20,37,1,31,4,10,5,4,1,27
2014-06-09 01:30,31,1,25,5,7,7,3,1,21
2014-06-09 01:40,41,2,25,3,12,9,3,1,18
2014-06-09 01:50,37,1,47,4,10,6,7,1,26
2014-06-09 02:00,28,2,34,3,7,8,5,2,20
2014-06-09 02:10,50,2,30,3,7,11,5,2,17
2014-06-09 02:20,63,1,30,2,12,8,5,1,22
2014-06-09 02:30,34,1,35,2,9,12,5,1,28
2014-06-09 02:40,52,1,34,5,9,3,7,2,40
2014-06-09 02:50,46,1,33,5,9,5,3,1,31
2014-06-09 03:00,39,1,31,4,11,7,3,1,29
2014-06-09 03:10,58,2,28,6,13,9,3,2,30
2014-06-09 03:20,47,1,25,4,6,9,5,1,31
2014-06-09 03:30,46,1,55,2,7,12,7,1,26
2014-06-09 03:40,54,1,40,1,6,6,3,2,20
2014-06-09 03:50,43,2,47,6,8,29,3,1,32
2014-06-09 04:00,41,1,40,3,12,22,3,1,30
2014-06-09 04:10,71,1,41,1,8,25,3,1,23
2014-06-09 04:20,46,1,36,2,9,20,3,1,17
2014-06-09 04:30,43,1,34,7,4,19,4,1,26
2014-06-09 04:40,93,1,25,9,5,21,3,1,30
2014-06-09 04:50,61,1,71,5,12,17,2,1,38
2014-06-09 05:00,52,1,30,3,19,18,4,1,35
2014-06-09 05:10,88,2,37,5,10,20,8,1,33
2014-06-09 05:20,57,2,38,8,11,24,15,1,29
2014-06-09 05:30,43,1,29,2,7,12,8,2,37
2014-06-09 05:40,97,2,31,2,7,13,5,1,20
2014-06-09 05:50,73,2,38,5,9,20,11,1,23
2014-06-09 06:00,41,1,37,3,7,18,8,1,31
2014-06-09 06:10,87,2,51,5,9,19,9,1,27
2014-06-09 06:20,72,2,46,6,10,16,9,1,35
2014-06-09 06:30,49,1,49,13,7,8,6,1,29
2014-06-09 06:40,143,1,32,5,9,10,9,1,19
2014-06-09 06:50,83,1,42,4,8,8,4,1,37
2014-06-09 07:00,55,1,54,2,72,12,9,1,54
2014-06-09 07:10,115,1,47,3,38,11,9,1,33
2014-06-09 07:20,96,1,52,4,23,4,10,1,29
2014-06-09 07:30,53,1,53,5,14,8,8,1,32
2014-06-09 07:40,127,1,49,5,18,9,13,1,37
2014-06-09 07:50,96,1,73,7,16,13,11,1,31
2014-06-09 08:00,58,1,52,5,28,8,11,1,33
2014-06-09 08:10,196,2,59,11,17,3,7,3,32
2014-06-09 08:20,99,1,69,8,19,4,7,1,32
2014-06-09 08:30,83,2,86,6,22,8,5,2,41
2014-06-09 08:40,177,1,81,4,11,11,9,1,31
2014-06-09 08:50,75,1,83,11,22,7,12,1,25
2014-06-09 09:00,73,1,58,3,20,8,11,2,32
2014-06-09 09:10,90,1,61,4,21,11,16,1,46
2014-06-09 09:20,85,1,58,5,12,9,15,2,38
2014-06-09 09:30,87,1,68,5,7,8,9,2,49
2014-06-09 09:40,59,1,46,6,14,9,15,1,37
2014-06-09 09:50,61,1,55,8,16,12,9,1,40
2014-06-09 10:00,74,1,74,5,8,13,15,2,51
2014-06-09 10:10,55,1,51,5,16,11,40,1,49
2014-06-09 10:20,178,3,62,13,18,8,27,2,33
2014-06-09 10:30,67,1,80,7,8,9,21,2,29
2014-06-09 10:40,93,1,98,9,6,9,13,1,100
2014-06-09 10:50,62,1,119,6,14,4,16,1,80
2014-06-09 11:00,70,1,157,5,12,13,19,1,68
2014-06-09 11:10,60,2,87,3,13,11,22,1,50
2014-06-09 11:20,121,1,71,5,14,16,12,1,54
2014-06-09 11:40,104,1,89,7,16,27,23,3,118
2014-06-09 11:50,63,1,67,3,13,12,17,2,48
2014-06-09 12:00,72,1,55,2,11,14,24,2,54
2014-06-09 12:10,70,2,46,5,11,10,20,1,48
2014-06-09 12:20,160,3,70,3,17,21,22,9,59
2014-06-09 12:40,93,1,33,4,18,31,19,7,76
2014-06-09 12:50,86,2,121,6,16,18,15,1,37
2014-06-09 13:00,92,2,54,13,12,6,12,1,43
2014-06-09 13:10,75,1,52,3,11,13,15,3,40
2014-06-09 13:20,94,1,85,5,14,12,17,1,41
2014-06-09 13:30,35,1,29,2,7,3,8,1,22
2014-06-09 13:40,86,2,40,5,10,14,12,1,34
2014-06-09 13:50,72,1,40,10,12,48,10,3,45
2014-06-09 14:00,75,2,61,5,15,14,16,4,58
2014-06-09 14:10,68,3,38,7,19,16,16,4,32
2014-06-09 14:20,64,3,27,3,23,13,16,3,41
2014-06-09 14:30,102,1,35,6,38,9,13,3,30
2014-06-09 14:40,575,3,352,6,5,13,10,4,38
2014-06-09 14:50,108,1,62,4,16,12,11,3,55
2014-06-09 15:00,96,1,35,4,11,5,8,4,39
2014-06-09 15:10,86,1,70,6,13,16,18,3,53
2014-06-09 15:20,114,1,56,7,28,10,13,1,33
2014-06-09 15:30,100,1,58,5,32,14,7,3,46
2014-06-09 15:40,65,1,32,1,14,19,15,1,34
2014-06-09 15:50,79,1,33,6,17,13,10,1,34
2014-06-09 16:00,78,1,41,6,45,7,13,1,47
2014-06-09 16:10,71,1,45,1,13,17,13,2,43
2014-06-09 16:20,55,1,16,5,8,10,8,1,27
2014-06-09 16:40,73,1,28,2,15,13,11,1,78
2014-06-09 16:50,76,1,26,4,15,10,15,2,56
2014-06-09 17:00,61,1,27,8,13,14,16,1,39
2014-06-09 17:10,55,2,21,2,6,16,18,1,43
2014-06-09 17:20,67,1,21,6,15,15,17,1,40
2014-06-09 17:30,67,1,30,4,8,11,14,1,49
2014-06-09 17:40,64,1,17,4,12,12,12,1,30
2014-06-09 17:50,68,1,23,10,14,13,15,1,48
2014-06-09 18:00,59,1,21,3,12,15,13,2,48
2014-06-09 18:10,55,2,18,3,22,14,4,2,36
